across			ngang qua
act			hành động, cư xử
active			năng động, chủ động, hoạt động
a			một
an			một
about			về
above			ở trên
abaction		gia súc bị bắt trộm
baboon			khỉ đầu chó
baby			em bé
computer		máy tính
able 			có năng lực, có thể
abandon 		bỏ, từ bỏ
add 			thêm
afraid 			sợ, hoảng sợ
after 			sau, sau khi
again 			lại, lần nữa
against 		chống lại, phản đối
age			tuổi
ago 			trước đây
agree 			đồng ý
air 			không khí
all 			tất cả
allow 			cho phép
alse 			cũng, cũng vậy
always 			luôn luôn
among 			giữa, ở giữa
and 			và
anger 			sự tức giận
animal 			động vật
answer 			trả lời
any 			bất cứ gì
appear 			xuất hiện, hiện ra
apple 			táo, quả táo
area 			khu vực
arm 			vũ trang
arrange 		sắp xếp, sửa soạn
arrive		 	đến nơi, tới nơi
art 			nghệ thuật
as 			như, với tư cách là
ask 			hỏi
at 			ở, tại
atom 			nguyên tử
back 			trở lại
bad 			xấu, tệ
ball 			quả bóng
bank 			bờ(sông), đê
bar 			quán rượu
base 			cơ sở
basic 			cơ bản
be 			thì, là
bear 			con gấu
bear			chịu đựng
beat 			đấm, sự đánh đập
beauty 			vẻ đẹp
bed 			giường
before 			trước kia, trước
begin 			bắt đầu
meat   thịt
measures   biện pháp
measure   đo lường
matter   vấn đề
massive   to lớn
mass   khối lượng
master   bậc thầy
match   trận đấu
material   vật chất
matching   phù hợp
math   môn Toán
materialize   cụ thể hoá
materializes   cụ thể hóa
maternal   bà mẹ
matrix   ma trận
mean   nghĩa là
me   tôi
may   có thể
matters   vấn đề
maturity   trưởng thành
mature   trưởng thành
maybe   có lẽ
mayor   thị trưởng
mdp   mdp
meal   bữa ăn
means   có nghĩa
meaning   Ý nghĩa
meanwhile   trong khi đó
measurement   đo đạc
measuring   đo lường
meeting   gặp gỡ
medical   Y khoa
mechanism   cơ chế
mechanical   cơ khí
media   phương tiện truyền thông
meet   gặp
medication   thuốc
medicine   thuốc
medium   Trung bình
message   thông điệp
member   hội viên
meetings   các cuộc họp
meets   gặp
men   đàn ông
membership   thành viên
memorize   học thuộc
memory   ký ức
mental   tâm thần
mention   đề cập đến
menu   thực đơn
mentor   người hướng dẫn
mere   chỉ là
merchant   thương gia
mercy   nhân từ
merely   chỉ đơn thuần là
mess   lộn xộn
mes   tin nhắn
metal   kim loại
metaclasses   siêu dữ liệu
metabolism   sự trao đổi chất
metaphor   phép ẩn dụ
metric   Hệ mét
method   phương pháp
methods   phương pháp
nCoV   ncov
moment   chốc lát
model   mô hình
missile   hỏa tiễn
might   có thể
middle   ở giữa
mid   giữa
million   triệu
military   quân đội
militaries   quân đội
migrate   di cư
milk   Sữa
millions   hàng triệu
minutes   phút
mind   lí trí
mine   của tôi
minister   bộ trưởng, mục sư
minimum   tối thiểu
minor   diễn viên phụ
minority   thiểu số
minute   phút
misconduct   hành vi sai trái
miracle   phép màu
mirror   gương
misperceptions   hiểu lầm
miss   cô
missed   bỏ lỡ
mistaken   nhầm
missing   còn thiếu
mission   sứ mệnh
mistake   sai lầm
mix   pha trộn
mixture   hỗn hợp
mixed   Trộn
mode   chế độ
mobile   di động
mom   mẹ
modeling   người mẫu
modeled   mô hình
moderate   vừa phải
modern   hiện đại
moderation   điều độ
modest   khiêm tốn
modules   mô-đun
modularity   mô-đun
modified   sửa đổi
modify   sửa đổi
module   mô-đun
mold   khuôn
moist   ẩm
molecule   phân tử
movie   bộ phim
more   hơn
moore   con điếm
months   tháng
month   tháng
money   tiền bạc
mon   Thứ hai
momentum   Quán tính
monarch   Quốc vương
monitor   màn hình
mood   tâm trạng
moon   mặt trăng
moral   đạo đức
most   phần lớn
moreover   hơn thế nữa
morning   buổi sáng
mortgage   thế chấp
morphology   hình thái
move   di chuyển
mounted   gắn kết
mother   mẹ
mostly   hầu hết
mot   một
motion   chuyển động
motherhood   làm mẹ
motherly   làm mẹ
motivation   động lực
motor   xe máy
mount   gắn kết
mountain   núi
mouse   chuột
mouth   mồm
movement   phong trào
movements   sự di chuyển
moves   di chuyển
museums   bảo tàng
multiple   nhiều
multi   đa
much   nhiều
movies   phim
mud   bùn
murder   giết người
muscle   cơ bắp
museum   viện bảo tàng
muscles   cơ bắp
music   Âm nhạc
musical   âm nhạc
musician   nhạc sĩ
must   phải
musicians   nhạc sĩ
mutual   lẫn nhau
my   của tôi
myself   riêng tôi
mystery   huyền bí
myth   huyền thoại
patient   kiên nhẫn
of   của
nearly   Gần
nationwide   toàn quốc
name   Tên
naked   khỏa thân
national   Quốc gia
narrative   tường thuật
names   tên
namely   cụ thể là
narrow   hẹp
nation   quốc gia
nationalism   chủ nghĩa dân tộc
near   ở gần
navigation   dẫn đường
native   tự nhiên
natural   tự nhiên
naturally   một cách tự nhiên
nature   Thiên nhiên
naval   hải quân
ne   không
navy   Hải quân
nearby   gần đó
numbers   số
need   nhu cầu
necessarily   nhất thiết phải
neat   khéo léo
necessary   cần thiết
neck   cái cổ
number   con số
new   Mới
nefarious   bất chính
networking   kết nối mạng
network   mạng
negative   tiêu cực
negotiate   đàm phán
negotiation   đàm phán
neighbor   hàng xóm
neighborhood   khu vực lân cận
neither   cũng không
neighbors   người hàng xóm
nerve   thần kinh
nervous   lo lắng
net   mạng lưới
nest   tổ
never   không bao giờ
networks   mạng
neutral   Trung tính
nevertheless   Tuy nhiên
not   không phải
nine   chín
newly   mới
next   kế tiếp
news   Tin tức
newspaper   báo chí
newspapers   Báo
nice   đẹp
night   đêm
niche   thích hợp
nights   đêm
normal   bình thường
no   Không
nixed   kết hợp
nineteenth   thứ mười chín
nooses   không thích
nobody   không ai
noble   cao quý
nod   gật đầu
noise   tiếng ồn
nomination   sự đề cử
nom   đề cử
none   không ai
noms   noms
nonetheless   dù sao
noon   không bật
nor   cũng không
norm   định mức
northern   Phương bắc
normally   bình thường
north   Bắc
nose   mũi
novel   cuốn tiểu thuyết
notice   để ý
note   Ghi chú
notate   công chứng
nothing   không có gì
notebook   sổ tay
notified   thông báo
notion   khái niệm
null   vô giá trị
now   hiện nay
nowhere   hư không
nuclear   Nguyên tử
num   số
oceans   đại dương
obtain   đạt được
observer   người quan sát
nurse   y tá
numerous   nhiều
obligatory   bắt buộc
objections   phản đối
obey   tuân theo
nurses   y tá
nut   hạt
obedient   ngoan ngoãn
oar   mái chèo
nutrient   chất dinh dưỡng
object   vật
objective   mục tiêu
obligation   nghĩa vụ
objects   các đối tượng
objectives   mục tiêu
objet   máy bay phản lực
obscene   tục tĩu
oblige   nghĩa vụ
observation   quan sát
observe   quan sát
observations   quan sát
obsolete   lỗi thời
occurring   xảy ra
occasions   dịp
obvious   hiển nhiên
obviously   chắc chắn
occasion   dịp
occasionally   thỉnh thoảng
occasional   thỉnh thoảng
occupation   nghề nghiệp
occupy   chiếm
occupied   chiếm đóng
